time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
263.7399978637695	11.5352	1	0.456057	-0.123047	0.472414	-15.096
275.8740005493164	13.0396	1	0.447329	-0.137635	0.467958	-17.094
287.9990005493164	14.5454	1	0.437807	-0.151307	0.463198	-19.062
299.2929992675781	16.0503	1	0.427614	-0.163941	0.457949	-20.97
303.4039993286133	17.5548	1	0.416994	-0.175538	0.452394	-22.824
307.5240020751953	19.0606	1	0.406008	-0.186097	0.446596	-24.618
311.6429977416992	20.5646	1	0.394838	-0.195741	0.440676	-26.364
315.7649993896484	22.0695	1	0.383303	-0.204469	0.434389	-28.074
319.8610000610352	23.5748	1	0.371767	-0.212281	0.428102	-29.718
323.9550018310547	25.0807	1	0.360231	-0.219239	0.421694	-31.32
328.0559997558594	26.5846	1	0.348574	-0.225343	0.415041	-32.874
332.1589965820313	28.0905	1	0.337221	-0.230592	0.40851	-34.362
336.2589950561523	29.5935	1	0.325869	-0.23523	0.401918	-35.82
340.3509979248047	31.0984	1	0.314699	-0.239137	0.395205	-37.224
344.4489974975586	32.6052	1	0.303713	-0.242372	0.388552	-38.586
348.5439987182617	34.111	1	0.292971	-0.245118	0.38196	-39.906
352.640998840332	35.6159	1	0.282534	-0.247193	0.375368	-41.172
356.7559967041016	37.1208	1	0.272402	-0.248841	0.368898	-42.402
360.8529968261719	38.6257	1	0.262575	-0.250002	0.362551	-43.59
364.9519958496094	40.1306	1	0.252993	-0.250795	0.356203	-44.742
369.0419998168945	41.6355	1	0.243775	-0.251162	0.349977	-45.852
373.1490020751953	43.1395	1	0.234803	-0.251284	0.343874	-46.926
377.2610015869141	44.6463	1	0.226197	-0.250978	0.337831	-47.964
381.3600006103516	46.1521	1	0.217896	-0.250551	0.331972	-48.978
385.4589996337891	47.6551	1	0.209901	-0.249818	0.326235	-49.956
389.5629959106445	49.16	1	0.20221	-0.24878	0.32062	-50.886
393.8349990844727	50.6649	1	0.194825	-0.247682	0.315065	-51.798
395.9399948120117	52.1698	1	0.187684	-0.246278	0.309633	-52.68
398.0540008544922	53.6728	1	0.180909	-0.244813	0.304384	-53.532
400.1689987182617	55.1796	1	0.174317	-0.243226	0.299196	-54.36
402.2809982299805	56.6864	1	0.168092	-0.241517	0.294191	-55.158
404.4010009765625	58.1894	1	0.161988	-0.239564	0.289186	-55.926
406.5069961547852	59.6962	1	0.156251	-0.237916	0.284548	-56.7
408.6080017089844	61.2011	1	0.150636	-0.235841	0.279787	-57.426
410.7220001220703	62.706	1	0.145326	-0.233766	0.275209	-58.128
412.8330001831055	64.2128	1	0.140321	-0.23169	0.270815	-58.794
414.9449996948242	65.7139	1	0.135316	-0.229615	0.266481	-59.478
417.056999206543	67.22069999999999	1	0.130677	-0.227418	0.262209	-60.108
