time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
41.10500335693359	0.9999	1	0.546085	0.0762944	0.546085	7.338
147.6429977416992	2.5049	1	0.603092	-0.000793461	0.603092	-0.072
147.6429977416992	2.5049	1	0.603092	-0.000793461	0.603092	-0.072
147.6429977416992	2.5049	1	0.603092	-0.000793461	0.603092	-0.072
147.6429977416992	2.5049	1	0.603092	-0.000793461	0.603092	-0.072
147.6429977416992	2.5049	1	0.603092	-0.000793461	0.603092	-0.072
147.6429977416992	2.5049	1	0.603092	-0.000793461	0.603092	-0.072
264.5950012207031	11.5352	1	0.565617	-0.151002	0.585392	-14.94
276.7419967651367	13.0401	1	0.554935	-0.169068	0.580143	-16.944
288.8550033569336	14.545	1	0.543339	-0.185975	0.574284	-18.888
300.1439971923828	16.0503	1	0.53101	-0.201783	0.567997	-20.802
304.2610015869141	17.5552	1	0.51807	-0.216187	0.561344	-22.65
308.4130020141602	19.0597	1	0.504581	-0.229371	0.554264	-24.438
312.5400009155273	20.565	1	0.490847	-0.241395	0.54694	-26.184
316.6920013427734	22.0699	1	0.476809	-0.25226	0.5394330000000001	-27.876
320.8310012817383	23.5739	1	0.462709	-0.261965	0.531681	-29.514
324.9540023803711	25.0807	1	0.448366	-0.270693	0.523746	-31.116
329.1139984130859	26.5856	1	0.434145	-0.278383	0.51569	-32.658
333.2590026855469	28.0905	1	0.419985	-0.285158	0.507633	-34.17
337.3990020751953	29.5954	1	0.406008	-0.290956	0.499453	-35.622
341.5230026245117	31.1003	1	0.392275	-0.295839	0.491274	-37.014
345.6579971313477	32.6052	1	0.378664	-0.300051	0.483095	-38.382
349.7750015258789	34.111	1	0.36548	-0.303469	0.475039	-39.696
353.9029998779297	35.6159	1	0.352541	-0.306215	0.466921	-40.974
358.0279998779297	37.1208	1	0.339968	-0.308352	0.458925	-42.204
362.140998840332	38.6257	1	0.3277	-0.309877	0.450991	-43.386
366.2440032958984	40.1316	1	0.31592	-0.310976	0.443239	-44.544
370.3730010986328	41.6355	1	0.304445	-0.311525	0.435549	-45.654
374.4919967651367	43.1395	1	0.293337	-0.311647	0.42798	-46.722
378.6230010986328	44.6463	1	0.282656	-0.311464	0.420534	-47.778
382.7279968261719	46.1502	1	0.27228	-0.310915	0.413271	-48.78
386.8619995117188	47.6551	1	0.262392	-0.310061	0.40613	-49.752
390.9810028076172	49.16	1	0.25281	-0.308901	0.399172	-50.694
395.2929992675781	50.6649	1	0.243653	-0.307558	0.392336	-51.612
397.4349975585938	52.1698	1	0.234803	-0.305971	0.385683	-52.488
399.5660018920898	53.6747	1	0.226319	-0.30414	0.37903	-53.34
401.7009963989258	55.1796	1	0.218141	-0.302248	0.372683	-54.174
403.8300018310547	56.6845	1	0.210328	-0.300173	0.366457	-54.972
405.9469985961914	58.1894	1	0.202821	-0.297976	0.360415	-55.752
408.0749969482422	59.6962	1	0.195497	-0.295778	0.354494	-56.526
410.2149963378906	61.2011	1	0.188722	-0.293276	0.348696	-57.228
412.3399963378906	62.706	1	0.182008	-0.290712	0.342958	-57.948
414.4680023193359	64.2109	1	0.17566	-0.288149	0.337404	-58.62
416.6230010986328	65.7158	1	0.169496	-0.285646	0.332094	-59.31
418.7590026855469	67.22069999999999	1	0.163636	-0.282961	0.326845	-59.958
420.8990020751953	68.7256	1	0.158021	-0.280336	0.321779	-60.582
423.0400009155273	70.23050000000001	1	0.152589	-0.27759	0.316713	-61.194
425.1999969482422	71.7354	1	0.147401	-0.274904	0.311892	-61.788
427.3219985961914	73.24030000000001	1	0.142457	-0.272158	0.307131	-62.364
429.4509963989258	74.7452	1	0.137757	-0.269472	0.302553	-62.922
431.572998046875	76.252	1	0.133119	-0.266726	0.298037	-63.474
433.7080001831055	77.7569	1	0.128663	-0.263979	0.293642	-64.008
435.8330001831055	79.2599	1	0.124451	-0.261293	0.28937	-64.53
437.9649963378906	80.7667	1	0.120362	-0.258547	0.285097	-65.03400000000001
440.0849990844727	82.27160000000001	1	0.116456	-0.255861	0.281069	-65.526
442.2099990844727	83.7765	1	0.112671	-0.253176	0.27704	-66
444.3499984741211	85.2833	1	0.10907	-0.250612	0.273256	-66.462
446.4690017700195	86.7863	1	0.105591	-0.247926	0.269411	-66.92400000000001
448.588996887207	88.2912	1	0.102173	-0.245301	0.265749	-67.374
450.7009963989258	89.7961	1	0.0989385	-0.242799	0.262148	-67.818
452.8010025024414	91.301	1	0.09588670000000001	-0.240235	0.258608	-68.238
454.9010009765625	92.80589999999999	1	0.09289600000000001	-0.237733	0.255251	-68.646
457.0199966430664	94.3108	1	0.0899663	-0.23523	0.251772	-69.06
459.129997253418	95.81570000000001	1	0.08728080000000001	-0.232789	0.248536	-69.438
461.2580032348633	97.3206	1	0.0845342	-0.230348	0.245301	-69.84
463.3880004882813	98.82550000000001	1	0.0819097	-0.227967	0.242249	-70.224
465.5149993896484	100.333	1	0.0794072	-0.225587	0.239137	-70.596
467.6340026855469	101.838	1	0.0758061	-0.223756	0.236207	-71.274
469.754997253418	103.346	1	0.07348680000000001	-0.221437	0.233216	-71.634
471.879997253418	104.848	1	0.07128950000000001	-0.219178	0.230409	-71.976
474.0039978027344	106.353	1	0.0691533	-0.21692	0.227601	-72.312
476.1230010986328	107.855	1	0.0670171	-0.214723	0.224916	-72.654
478.2519989013672	109.363	1	0.0650029	-0.212586	0.22223	-72.984
480.3740005493164	110.865	1	0.0630498	-0.210389	0.219605	-73.30200000000001
482.4909973144531	112.369	1	0.0611575	-0.208314	0.217042	-73.62600000000001
484.6070022583008	113.877	1	0.0593874	-0.206239	0.21454	-73.932
486.7310028076172	115.382	1	0.0576174	-0.204103	0.212037	-74.232
488.8420028686523	116.887	1	0.0559084	-0.20221	0.209718	-74.526
490.9609985351563	118.389	1	0.0542605	-0.200135	0.207337	-74.81999999999999
493.0820007324219	119.897	1	0.0525515	-0.198243	0.205018	-75.13800000000001
495.2019958496094	121.402	1	0.0511477	-0.19629	0.202821	-75.39
497.3259963989258	122.907	1	0.0495608	-0.194398	0.200624	-75.684
499.4509963989258	124.414	1	0.048157	-0.192567	0.198487	-75.95399999999999
502.8929977416992	125.916	1	0.0467227	-0.190766	0.196382	-76.23
505.0039978027344	127.421	1	0.0453799	-0.188935	0.194276	-76.494
507.1169967651367	128.929	1	0.0440981	-0.187135	0.192231	-76.734
509.2350006103516	130.434	1	0.0427554	-0.185395	0.190248	-77.00400000000001
511.3560028076172	131.936	1	0.0415041	-0.183656	0.188233	-77.256
513.484001159668	133.441	1	0.040314	-0.181977	0.186372	-77.502
515.6080017089844	134.946	1	0.0391543	-0.180268	0.184449	-77.736
517.7099990844727	136.454	1	0.0379946	-0.178651	0.182618	-77.988
519.8209991455078	137.958	1	0.036896	-0.177033	0.180818	-78.22199999999999
521.9440002441406	139.465	1	0.0358279	-0.175416	0.178987	-78.45
524.0719985961914	140.968	1	0.0347598	-0.17389	0.177308	-78.69
526.1910018920898	142.471	1	0.0337527	-0.172303	0.175569	-78.91200000000001
528.3219985961914	143.978	1	0.0327761	-0.170808	0.17389	-79.128
530.4410018920898	145.485	1	0.0317996	-0.169282	0.172242	-79.356
532.5660018920898	146.988	1	0.0308534	-0.167848	0.170655	-79.572
534.6800003051758	148.495	1	0.0299989	-0.166383	0.169038	-79.776
536.8109970092773	149.998	1	0.0290529	-0.164918	0.16742	-80.00400000000001
