time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
40.91099548339844	0.9999	1	0.586063	0.0756841	0.590946	7.362
40.91099548339844	0.9999	1	0.586063	0.0756841	0.590946	7.362
40.91099548339844	0.9999	1	0.586063	0.0756841	0.590946	7.362
40.91099548339844	0.9999	1	0.586063	0.0756841	0.590946	7.362
40.91099548339844	0.9999	1	0.586063	0.0756841	0.590946	7.362
40.91099548339844	0.9999	1	0.586063	0.0756841	0.590946	7.362
40.91099548339844	0.9999	1	0.586063	0.0756841	0.590946	7.362
263.9219970703125	11.5352	1	0.560734	-0.149049	0.5802040000000001	-14.88
263.9219970703125	11.5352	1	0.560734	-0.149049	0.5802040000000001	-14.88
288.093994140625	14.5454	1	0.538822	-0.184022	0.56934	-18.852
299.3759994506836	16.0503	1	0.526493	-0.199769	0.563175	-20.778
303.4669952392578	17.5543	1	0.513676	-0.214112	0.556461	-22.626
307.5739974975586	19.0601	1	0.500431	-0.227235	0.5495640000000001	-24.42
311.6650009155273	20.565	1	0.486696	-0.239259	0.542301	-26.172
315.7649993896484	22.0709	1	0.472719	-0.250124	0.534794	-27.876
319.8649978637695	23.5758	1	0.458681	-0.259829	0.527103	-29.526
323.9549942016602	25.0797	1	0.44446	-0.268496	0.51923	-31.134
328.0459976196289	26.5846	1	0.4303	-0.276125	0.511234	-32.682
332.140998840332	28.0886	1	0.416201	-0.282778	0.503178	-34.188
336.2309951782227	29.5954	1	0.402346	-0.288515	0.495058	-35.634
340.3219985961914	31.1022	1	0.388613	-0.293337	0.486879	-37.044
344.4249954223633	32.6052	1	0.375185	-0.297548	0.478823	-38.412
348.5149993896484	34.111	1	0.362001	-0.300844	0.470705	-39.72
352.6149978637695	35.6159	1	0.349184	-0.303591	0.462709	-40.998
356.7159957885742	37.1218	1	0.336733	-0.305666	0.454775	-42.228
360.8199996948242	38.6257	1	0.324587	-0.307192	0.44684	-43.416
364.9199981689453	40.1287	1	0.312868	-0.308168	0.43915	-44.562
369.0270004272461	41.6384	1	0.301455	-0.308779	0.43152	-45.684
373.1380004882813	43.1404	1	0.290468	-0.308901	0.424013	-46.758
377.2289962768555	44.6444	1	0.279787	-0.308718	0.416567	-47.814
381.3450012207031	46.1502	1	0.269533	-0.308168	0.409365	-48.816
385.4539947509766	47.6551	1	0.259706	-0.307253	0.402285	-49.788
389.5469970703125	49.1619	1	0.250246	-0.306093	0.395327	-50.73
393.8169937133789	50.6649	1	0.241151	-0.30475	0.388552	-51.636
395.9279937744141	52.1698	1	0.232362	-0.303102	0.381899	-52.524
398.0479965209961	53.6747	1	0.224	-0.301332	0.375429	-53.37
400.1579971313477	55.1815	1	0.215821	-0.29944	0.369081	-54.21
402.2589950561523	56.6845	1	0.20807	-0.297365	0.362917	-55.008
404.3589935302734	58.1913	1	0.200685	-0.295229	0.356936	-55.788
406.468994140625	59.6943	1	0.193482	-0.293032	0.351076	-56.562
408.5799942016602	61.2011	1	0.186646	-0.290468	0.345217	-57.264
410.693000793457	62.706	1	0.180177	-0.287966	0.339602	-57.96
412.7989959716797	64.209	1	0.173829	-0.285463	0.334169	-58.65
414.8999938964844	65.7158	1	0.167787	-0.282839	0.328798	-59.316
417.0189971923828	67.22069999999999	1	0.161927	-0.280275	0.32361	-59.976
419.129997253418	68.72750000000001	1	0.156373	-0.27759	0.318544	-60.594
421.2309951782227	70.23050000000001	1	0.151063	-0.274904	0.313662	-61.206
423.3499984741211	71.7354	1	0.145875	-0.27228	0.30884	-61.806
425.4570007324219	73.2384	1	0.140992	-0.269472	0.304079	-62.382
427.5759963989258	74.7452	1	0.136231	-0.266787	0.299501	-62.94
429.6839981079102	76.2501	1	0.131715	-0.264101	0.295046	-63.48
431.7849960327148	77.7569	1	0.127381	-0.261415	0.290773	-64.014
433.8859939575195	79.2599	1	0.123169	-0.258669	0.28644	-64.524
435.9860000610352	80.76479999999999	1	0.119141	-0.255983	0.28229	-65.03400000000001
438.0859985351563	82.27160000000001	1	0.115296	-0.253359	0.278322	-65.526
440.2129974365234	83.77840000000001	1	0.111573	-0.250734	0.274416	-66
442.322998046875	85.2795	1	0.107972	-0.248048	0.27051	-66.468
444.4329986572266	86.7863	1	0.104493	-0.245484	0.266787	-66.93000000000001
446.5459976196289	88.2912	1	0.101136	-0.242921	0.263124	-67.38
448.6569976806641	89.7961	1	0.09796190000000001	-0.240296	0.259462	-67.812
450.7739944458008	91.2991	1	0.0949101	-0.237794	0.255983	-68.238
452.8949966430664	92.80589999999999	1	0.0919194	-0.235353	0.252626	-68.652
455.0059967041016	94.3108	1	0.08911180000000001	-0.232911	0.249269	-69.054
457.1199951171875	95.81570000000001	1	0.0863652	-0.230409	0.246034	-69.444
459.2579956054688	97.3206	1	0.0836797	-0.228028	0.24286	-69.834
461.3789978027344	98.82550000000001	1	0.0811162	-0.225709	0.239808	-70.218
463.4919967651367	100.333	1	0.0786138	-0.223329	0.236756	-70.596
465.6199951171875	101.838	1	0.0748296	-0.221498	0.233766	-71.328
467.7299957275391	103.343	1	0.0725102	-0.219239	0.230897	-71.688
469.8479995727539	104.848	1	0.070313	-0.216981	0.228028	-72.03
471.963996887207	106.35	1	0.06817670000000001	-0.214845	0.225343	-72.378
474.0809936523438	107.855	1	0.06622359999999999	-0.212708	0.222718	-72.702
476.1999969482422	109.363	1	0.06414839999999999	-0.210511	0.220033	-73.05
478.3159942626953	110.868	1	0.0622561	-0.208314	0.217408	-73.34999999999999
480.4409942626953	112.369	1	0.060425	-0.206239	0.214845	-73.66800000000001
482.5529937744141	113.877	1	0.058594	-0.204225	0.212403	-73.986
484.6779937744141	115.382	1	0.056885	-0.202149	0.209962	-74.28
486.7989959716797	116.887	1	0.055176	-0.200135	0.207582	-74.574
488.9189987182617	118.392	1	0.0535891	-0.198121	0.205201	-74.84999999999999
491.0309982299805	119.897	1	0.0520022	-0.196351	0.203004	-75.15600000000001
493.1499938964844	121.402	1	0.0504153	-0.194337	0.200746	-75.444
495.265998840332	122.91	1	0.0490115	-0.192445	0.198579	-75.708
498.7109985351563	124.414	1	0.0475466	-0.190614	0.196443	-75.99
500.8249969482422	125.916	1	0.0461733	-0.188783	0.194306	-76.25400000000001
502.9389953613281	127.424	1	0.0448306	-0.187013	0.192292	-76.518
505.0550003051758	128.929	1	0.0435183	-0.185273	0.190278	-76.776
507.1689987182617	130.434	1	0.042206	-0.183534	0.188325	-77.04600000000001
509.2799987792969	131.939	1	0.0409853	-0.181855	0.186372	-77.292
511.3969955444336	133.441	1	0.0398257	-0.180116	0.184449	-77.532
513.5139999389648	134.946	1	0.038666	-0.178498	0.182618	-77.77200000000001
515.6309967041016	136.451	1	0.0375063	-0.176881	0.180787	-78.024
517.7559967041016	137.958	1	0.0364077	-0.175233	0.178956	-78.252
519.8659973144531	139.462	1	0.0353701	-0.173707	0.177217	-78.486
521.9759979248047	140.968	1	0.034302	-0.17212	0.175477	-78.72
524.0919952392578	142.471	1	0.0333254	-0.170594	0.173799	-78.94199999999999
526.213996887207	143.978	1	0.0323489	-0.169068	0.17212	-79.164
528.3309936523438	145.481	1	0.0313723	-0.167603	0.170503	-79.386
530.4459991455078	146.988	1	0.0304872	-0.166139	0.168885	-79.59
532.5669937133789	148.495	1	0.0295717	-0.164765	0.167359	-79.812
534.6859970092773	149.998	1	0.0286866	-0.16327	0.165742	-80.02200000000001
