time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
22.16699981689453	0.9999	1	-2.3246E-006	2.91766E-005	2.92958E-005	94.536
128.7959976196289	2.5049	1	1.70619E-005	-2.08617E-007	1.70619E-005	-0.696
256.1559982299805	4.01	1	4.16117E-005	5.12603E-006	4.19246E-005	7.032
288.7770004272461	5.5151	1	2.3529E-005	2.21284E-006	2.36334E-005	5.376
311.5239944458008	7.02	1	4.38059E-005	9.53682E-007	4.38171E-005	1.248
344.5749969482422	8.524900000000001	1	3.09984E-005	2.3395E-006	3.10841E-005	4.32
367.3119964599609	10.0303	1	5.68854E-005	-2.92064E-006	5.69599E-005	-2.934
390.3409957885742	11.5347	1	9.590819999999999E-006	-9.62435E-006	1.35843E-005	-45.096
423.1049957275391	13.0401	1	2.3218E-005	-1.13492E-005	2.58425E-005	-26.046
435.2259979248047	14.5454	1	2.02545E-005	1.0036E-005	2.26052E-005	26.358
446.5599975585938	16.0494	1	5.03177E-005	1.21445E-006	5.03289E-005	1.392
450.9769973754883	17.5543	1	5.23704E-005	-1.89395E-005	5.56933E-005	-19.872
455.3880004882813	19.0606	1	4.04345E-005	7.52512E-006	4.11274E-005	10.542
459.5069961547852	20.565	1	3.78417E-005	3.16056E-005	4.93082E-005	39.87
463.6309967041016	22.0709	1	1.02148E-005	9.55915E-006	1.39922E-005	43.11
471.390998840332	23.5748	1	5.74591E-005	3.35278E-007	5.74591E-005	0.336
475.52099609375	25.0807	1	1.94014E-005	-7.66671E-006	2.08617E-005	-21.534
486.9169998168945	26.5856	1	1.83509E-005	-1.37762E-005	2.29405E-005	-36.888
491.0439987182617	28.0886	1	3.32E-005	7.49531E-006	3.40382E-005	12.72
498.5289993286133	29.5954	1	1.99416E-005	-1.43834E-005	2.45833E-005	-35.802
506.3040008544922	31.1012	1	3.32186E-005	3.35278E-006	3.33863E-005	5.766
510.431999206543	32.6052	1	2.93554E-005	-2.00496E-005	3.55507E-005	-34.332
514.5489959716797	34.111	1	4.19843E-005	3.66197E-006	4.21444E-005	4.986
518.6640014648438	35.6159	1	1.70359E-005	-1.63168E-006	1.71104E-005	-5.466
522.8050003051758	37.1208	1	2.25009E-005	-2.85359E-006	2.26797E-005	-7.218
