time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
21.95899963378906	0.9999	1	1.09217	0.181275	1.09217	7.638
305.0400009155273	25.0807	1	1.05878	-0.574039	1.09217	-28.464
309.1660003662109	26.5856	1	1.02937	-0.590519	1.09217	-29.838
313.3089981079102	28.0905	1	1.00007	-0.604984	1.09217	-31.17
317.4309997558594	29.5935	1	0.971195	-0.61768	1.09217	-32.454
321.5500030517578	31.1003	1	0.942814	-0.628544	1.09217	-33.69
325.6630020141602	32.6052	1	0.91486	-0.638004	1.09217	-34.89
329.7910003662109	34.1101	1	0.887516	-0.645817	1.09217	-36.042
333.9199981689453	35.6169	1	0.860966	-0.652348	1.08015	-37.146
338.0540008544922	37.1218	1	0.8350260000000001	-0.657597	1.06281	-38.22
342.1839981079102	38.6238	1	0.809818	-0.661808	1.04585	-39.252
346.3190002441406	40.1306	1	0.785404	-0.664921	1.02906	-40.254
350.4589996337891	41.6346	1	0.761723	-0.667057	1.01252	-41.208
354.5839996337891	43.1414	1	0.738834	-0.668461	0.996281	-42.132
358.7210006713867	44.6463	1	0.716618	-0.66901	0.9803500000000001	-43.032
362.8440017700195	46.1502	1	0.695255	-0.668949	0.964848	-43.89
366.9710006713867	47.6532	1	0.674809	-0.6684	0.949772	-44.724
371.0920028686523	49.16	1	0.65485	-0.667057	0.934757	-45.528
375.390998840332	50.6668	1	0.6356849999999999	-0.665226	0.920109	-46.302
377.5329971313477	52.1698	1	0.6171910000000001	-0.662968	0.905766	-47.046
379.677001953125	53.6747	1	0.59943	-0.660526	0.891972	-47.772
381.806999206543	55.1796	1	0.58234	-0.657658	0.878361	-48.474
383.931999206543	56.6845	1	0.5658	-0.654423	0.865116	-49.152
386.0629959106445	58.1894	1	0.549931	-0.6510049999999999	0.852116	-49.806
388.1900024414063	59.6962	1	0.535038	-0.647282	0.839787	-50.424
390.3219985961914	61.2011	1	0.520023	-0.643436	0.827335	-51.048
392.4599990844727	62.706	1	0.505802	-0.639286	0.8151890000000001	-51.648
394.5780029296875	64.209	1	0.492311	-0.635197	0.803593	-52.218
396.7099990844727	65.7158	1	0.479128	-0.630924	0.792179	-52.782
398.8409957885742	67.22069999999999	1	0.466433	-0.62653	0.781071	-53.328
400.9769973754883	68.7256	1	0.454348	-0.622074	0.770329	-53.856
403.1110000610352	70.23050000000001	1	0.44269	-0.6175580000000001	0.759769	-54.36
405.2369995117188	71.7354	1	0.431398	-0.612919	0.749454	-54.858
407.3610000610352	73.24030000000001	1	0.420473	-0.608219	0.739384	-55.344
409.4899978637695	74.7452	1	0.409975	-0.603519	0.729557	-55.812
411.6259994506836	76.2501	1	0.399782	-0.598942	0.720097	-56.274
413.7539978027344	77.755	1	0.390078	-0.5942420000000001	0.710819	-56.712
415.8860015869141	79.2599	1	0.380739	-0.589603	0.701786	-57.144
418.0029983520508	80.7667	1	0.371645	-0.584904	0.692936	-57.564
420.1529998779297	82.27160000000001	1	0.362795	-0.580143	0.684208	-57.972
422.286003112793	83.77840000000001	1	0.354372	-0.575504	0.675785	-58.374
424.4099960327148	85.2833	1	0.346071	-0.570927	0.667606	-58.77
426.5250015258789	86.7863	1	0.338137	-0.566349	0.659611	-59.154
428.6679992675781	88.2912	1	0.330446	-0.561771	0.651676	-59.526
430.8059997558594	89.7961	1	0.323061	-0.557194	0.644047	-59.892
432.9339981079102	91.301	1	0.31592	-0.552738	0.6366000000000001	-60.246
435.0629959106445	92.80589999999999	1	0.308901	-0.5483440000000001	0.629337	-60.6
437.2060012817383	94.3108	1	0.302187	-0.543827	0.622135	-60.936
439.3349990844727	95.8128	1	0.295717	-0.539555	0.615238	-61.272
441.4700012207031	97.3206	1	0.28937	-0.535221	0.608402	-61.596
443.5989990234375	98.82550000000001	1	0.283205	-0.530888	0.601688	-61.92
445.7320022583008	100.333	1	0.277285	-0.526737	0.595158	-62.232
447.875	101.838	1	0.268007	-0.524357	0.588871	-62.928
450.0130004882813	103.343	1	0.262392	-0.520206	0.582584	-63.228
452.1399993896484	104.848	1	0.257021	-0.516056	0.576481	-63.522
454.2590026855469	106.35	1	0.251772	-0.512028	0.570499	-63.81
456.3970031738281	107.855	1	0.246705	-0.507999	0.564701	-64.092
458.5370025634766	109.363	1	0.241761	-0.504093	0.559025	-64.374
460.6529998779297	110.868	1	0.236878	-0.5001870000000001	0.55341	-64.65600000000001
462.786003112793	112.369	1	0.23224	-0.49634	0.5479770000000001	-64.92
464.9099960327148	113.877	1	0.227723	-0.492495	0.5425450000000001	-65.184
467.0449981689453	115.382	1	0.223207	-0.488832	0.537296	-65.44799999999999
469.1800003051758	116.887	1	0.218934	-0.485109	0.532169	-65.706
471.3150024414063	118.389	1	0.214662	-0.481447	0.527103	-65.964
473.447998046875	119.897	1	0.210572	-0.477663	0.521976	-66.20399999999999
475.5810012817383	121.402	1	0.206605	-0.474306	0.517338	-66.462
477.7259979248047	122.907	1	0.202699	-0.470827	0.512577	-66.702
479.8649978637695	124.412	1	0.198915	-0.467348	0.507877	-66.93600000000001
482	125.916	1	0.195252	-0.46393	0.5033	-67.17
484.1190032958984	127.424	1	0.191651	-0.460573	0.498781	-67.398
486.2649993896484	128.929	1	0.188172	-0.457155	0.494326	-67.62600000000001
488.4010009765625	130.434	1	0.184693	-0.45392	0.490053	-67.854
490.5370025634766	131.939	1	0.181336	-0.450808	0.485842	-68.08199999999999
492.6780014038086	133.441	1	0.178041	-0.447512	0.481569	-68.298
494.8119964599609	134.949	1	0.174867	-0.44446	0.477541	-68.52
496.947998046875	136.451	1	0.171754	-0.441347	0.473574	-68.73
499.0709991455078	137.958	1	0.168702	-0.438234	0.469545	-68.94
501.1809997558594	139.462	1	0.165711	-0.435305	0.4657	-69.15000000000001
503.3199996948242	140.964	1	0.162721	-0.432253	0.461794	-69.366
505.4680023193359	142.471	1	0.159913	-0.429323	0.458132	-69.56999999999999
507.588996887207	143.978	1	0.157166	-0.426394	0.454409	-69.762
509.7229995727539	145.481	1	0.15442	-0.423586	0.450808	-69.96599999999999
511.8580017089844	146.988	1	0.151673	-0.420839	0.447268	-70.17
513.9869995117188	148.495	1	0.14911	-0.417971	0.443727	-70.356
516.1210021972656	149.998	1	0.146546	-0.415224	0.44031	-70.56
