time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
275.8499984741211	13.0401	1	0.638493	0.00622562	0.638554	0.564
287.9599990844727	14.545	1	0.639286	0.00476077	0.639286	0.432
299.2470016479492	16.0503	1	0.639896	0.00335695	0.639896	0.306
303.359001159668	17.5548	1	0.640385	0.00207521	0.640385	0.186
307.4650039672852	19.0606	1	0.641056	0.0008544960000000001	0.641056	0.078
311.5810012817383	20.565	1	0.641605	-0.000183106	0.641605	-0.012
315.7009963989258	22.0699	1	0.642033	-0.00140382	0.642033	-0.12
319.8050003051758	23.5748	1	0.64246	-0.00256349	0.64246	-0.228
323.9049987792969	25.0807	1	0.642826	-0.00354005	0.642826	-0.312
328.0230026245117	26.5837	1	0.643131	-0.00457767	0.643131	-0.402
332.1330032348633	28.0905	1	0.643436	-0.00555423	0.643436	-0.492
336.2330017089844	29.5963	1	0.643742	-0.00659183	0.643742	-0.582
340.3610000610352	31.1003	1	0.643986	-0.00756839	0.643986	-0.672
344.4729995727539	32.6052	1	0.644169	-0.008544980000000001	0.64423	-0.756
348.5849990844727	34.1101	1	0.644291	-0.00946051	0.644352	-0.84
352.6949996948242	35.6169	1	0.644535	-0.010376	0.644596	-0.924
356.8150024414063	37.1208	1	0.644657	-0.0112305	0.644718	-0.996
360.9329986572266	38.6257	1	0.644718	-0.0121461	0.64484	-1.074
365.0530014038086	40.1306	1	0.644779	-0.0131226	0.644901	-1.158
369.1729965209961	41.6355	1	0.644962	-0.0139161	0.645084	-1.236
373.2839965820313	43.1376	1	0.645023	-0.0147706	0.645206	-1.314
377.3949966430664	44.6482	1	0.645145	-0.0156862	0.645329	-1.392
381.504997253418	46.1502	1	0.645206	-0.0165406	0.64539	-1.47
385.6190032958984	47.6551	1	0.645267	-0.0174562	0.645512	-1.548
389.7399978637695	49.16	1	0.645329	-0.0183107	0.645634	-1.62
394.0339965820313	50.6649	1	0.64539	-0.0191041	0.645634	-1.692
396.1650009155273	52.1698	1	0.645451	-0.0198976	0.645756	-1.764
398.286003112793	53.6766	1	0.645451	-0.020691	0.645756	-1.836
400.4059982299805	55.1796	1	0.645573	-0.0216066	0.645939	-1.914
402.5270004272461	56.6845	1	0.645573	-0.0224	0.646	-1.986
404.6460037231445	58.1894	1	0.645634	-0.0232545	0.646061	-2.058
406.765998840332	59.6962	1	0.645817	-0.0238649	0.646244	-2.112
408.8960037231445	61.2011	1	0.645695	-0.0247804	0.646183	-2.19
411.036003112793	62.706	1	0.645634	-0.0255738	0.646122	-2.268
413.1559982299805	64.2109	1	0.645695	-0.0263673	0.646244	-2.34
