time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
263.8979949951172	11.5347	1	1.00489	-0.262575	1.03864	-14.64
263.8979949951172	11.5347	1	1.00489	-0.262575	1.03864	-14.64
288.0550003051758	14.5454	1	0.964664	-0.321779	1.01685	-18.444
299.327995300293	16.0499	1	0.942509	-0.348146	1.00477	-20.274
303.4379959106445	17.5548	1	0.919559	-0.372133	0.992008	-22.032
307.5469970703125	19.0606	1	0.896061	-0.393801	0.978764	-23.724
311.6479949951172	20.5655	1	0.872013	-0.413454	0.965092	-25.362
315.7490005493164	22.0709	1	0.847599	-0.431154	0.950932	-26.958
319.8479995727539	23.5758	1	0.8231849999999999	-0.446779	0.936588	-28.488
323.9519958496094	25.0797	1	0.798771	-0.460634	0.9220620000000001	-29.964
328.0579986572266	26.5865	1	0.77454	-0.472719	0.907413	-31.398
332.1479949951172	28.0905	1	0.750553	-0.483156	0.892582	-32.766
336.2579956054688	29.5944	1	0.726994	-0.492128	0.877872	-34.092
340.3679962158203	31.1022	1	0.7039220000000001	-0.499636	0.863224	-35.364
344.4589996337891	32.6071	1	0.681217	-0.505924	0.848515	-36.6
348.5589981079102	34.1101	1	0.659306	-0.511051	0.834171	-37.776
352.6609954833984	35.615	1	0.638004	-0.515018	0.81995	-38.91
356.7569961547852	37.1208	1	0.617374	-0.518131	0.805912	-40.002
360.8470001220703	38.6257	1	0.597294	-0.520267	0.792118	-41.052
364.9409942626953	40.1306	1	0.5780070000000001	-0.52161	0.778568	-42.06
369.0399932861328	41.6365	1	0.558964	-0.522282	0.764957	-43.056
373.1389999389648	43.1395	1	0.541203	-0.522404	0.752201	-43.98
377.2469940185547	44.6463	1	0.5238080000000001	-0.521854	0.739384	-44.892
381.3569946289063	46.1502	1	0.507145	-0.520878	0.726994	-45.762
385.447998046875	47.6551	1	0.491091	-0.519352	0.7147250000000001	-46.602
389.5489959716797	49.1581	1	0.47571	-0.517521	0.702885	-47.406
393.8289947509766	50.6649	1	0.460939	-0.515324	0.69141	-48.186
395.9389953613281	52.1698	1	0.446657	-0.51276	0.679996	-48.936
398.0399932861328	53.6747	1	0.433046	-0.510014	0.66901	-49.662
400.1529998779297	55.1796	1	0.419863	-0.507084	0.6583290000000001	-50.37
402.2630004882813	56.6845	1	0.407351	-0.503849	0.6478310000000001	-51.042
404.3730010986328	58.1913	1	0.395205	-0.500553	0.63776	-51.702
406.4829940795898	59.6943	1	0.383852	-0.497133	0.627995	-52.32
408.5830001831055	61.2011	1	0.372561	-0.493471	0.61829	-52.944
410.693000793457	62.7041	1	0.361818	-0.489687	0.608829	-53.538
412.8119964599609	64.2128	1	0.351625	-0.485903	0.599735	-54.102
414.911994934082	65.7158	1	0.341677	-0.482058	0.590824	-54.666
417.02099609375	67.2226	1	0.332155	-0.47809	0.582096	-55.206
419.1209945678711	68.7256	1	0.323122	-0.474184	0.573734	-55.728
421.2220001220703	70.23050000000001	1	0.314333	-0.470156	0.565495	-56.232
423.327995300293	71.73350000000001	1	0.30591	-0.466311	0.557682	-56.73
425.4459991455078	73.24030000000001	1	0.297853	-0.462221	0.549809	-57.198
427.5659942626953	74.74330000000001	1	0.290041	-0.458193	0.5422400000000001	-57.666
429.6779937744141	76.252	1	0.282473	-0.454226	0.534855	-58.122
431.7989959716797	77.755	1	0.27527	-0.450258	0.527714	-58.554
433.8989944458008	79.26179999999999	1	0.268312	-0.446352	0.520756	-58.986
436.0289993286133	80.7667	1	0.261599	-0.442385	0.513859	-59.4
438.1479949951172	82.27160000000001	1	0.255068	-0.43854	0.507267	-59.814
440.2679977416992	83.7765	1	0.248841	-0.434633	0.5007970000000001	-60.198
442.3859939575195	85.2833	1	0.242799	-0.430788	0.494448	-60.588
444.4869995117188	86.7901	1	0.237	-0.426943	0.488283	-60.96
446.6059951782227	88.2931	1	0.231385	-0.42322	0.482302	-61.326
448.7159957885742	89.7961	1	0.225953	-0.419497	0.476442	-61.686
450.8359985351563	91.301	1	0.220704	-0.415895	0.470827	-62.04
452.9449996948242	92.80589999999999	1	0.215638	-0.412233	0.465212	-62.382
455.0449981689453	94.3108	1	0.210694	-0.408632	0.459719	-62.718
457.1449966430664	95.8185	1	0.205995	-0.405031	0.454409	-63.036
459.2749938964844	97.3206	1	0.201417	-0.401613	0.449221	-63.36
461.3919982910156	98.82550000000001	1	0.1969	-0.398134	0.444094	-63.678
463.5119934082031	100.333	1	0.192567	-0.394777	0.43915	-63.99
465.625	101.835	1	0.185853	-0.39258	0.434267	-64.65600000000001
467.7339935302734	103.34	1	0.181886	-0.389223	0.429628	-64.95
469.8539962768555	104.848	1	0.177918	-0.385927	0.424929	-65.244
471.9729995727539	106.35	1	0.174134	-0.382692	0.420412	-65.526
474.0839996337891	107.855	1	0.170472	-0.379457	0.416018	-65.80200000000001
476.2109985351563	109.363	1	0.166871	-0.376284	0.411562	-66.072
478.3239974975586	110.868	1	0.163453	-0.373171	0.407351	-66.342
