time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
263.931999206543	11.5347	1	0.09732100000000001	-0.0149155	0.0984502	-8.712
296.6309967041016	13.0401	1	0.0960698	-0.016678	0.0974965	-9.846
308.7429962158203	14.5445	1	0.0947881	-0.0183259	0.0965428	-10.938
320.0130004882813	16.0503	1	0.0934224	-0.0197831	0.09549000000000001	-11.952
324.1289978027344	17.5552	1	0.09198050000000001	-0.0210878	0.09436849999999999	-12.912
328.245002746582	19.0592	1	0.09057659999999999	-0.0222093	0.0932622	-13.776
332.3679962158203	20.565	1	0.0891652	-0.0232087	0.09214070000000001	-14.586
336.4799957275391	22.0699	1	0.0877385	-0.0240861	0.0909886	-15.348
340.5940017700195	23.5748	1	0.0863042	-0.0248109	0.0897985	-16.032
344.7080001831055	25.0807	1	0.0849004	-0.025467	0.0886388	-16.698
348.8209991455078	26.5856	1	0.08355	-0.0259858	0.087502	-17.268
352.931999206543	28.0905	1	0.0822225	-0.0263749	0.08635	-17.784
357.0439987182617	29.5954	1	0.0809484	-0.0267183	0.08524370000000001	-18.264
361.1569976806641	31.0984	1	0.0796819	-0.0270158	0.08412980000000001	-18.726
365.2689971923828	32.6052	1	0.0784535	-0.0272218	0.0830388	-19.134
369.379997253418	34.111	1	0.0773244	-0.027382	0.0820317	-19.494
373.4909973144531	35.615	1	0.07623340000000001	-0.0274659	0.0810246	-19.806
377.6129989624023	37.1208	1	0.0751729	-0.0275193	0.08005569999999999	-20.106
381.7269973754883	38.6257	1	0.0741506	-0.027527	0.07910200000000001	-20.364
385.8399963378906	40.1306	1	0.0731969	-0.027527	0.0782018	-20.61
389.9589996337891	41.6355	1	0.0722737	-0.0274659	0.07731680000000001	-20.802
394.0719985961914	43.1395	1	0.07141160000000001	-0.0273668	0.0764775	-20.964
398.1849975585938	44.6463	1	0.07056469999999999	-0.0272676	0.0756536	-21.126
402.2979965209961	46.1502	1	0.06973310000000001	-0.0271684	0.07483720000000001	-21.282
406.4099960327148	47.6551	1	0.06898550000000001	-0.0270616	0.0741048	-21.414
410.5199966430664	49.16	1	0.0682836	-0.026909	0.0733876	-21.504
414.8089981079102	50.6649	1	0.0675359	-0.0267183	0.0726247	-21.582
416.9400024414063	52.1698	1	0.0669408	-0.0265886	0.0720296	-21.66
